country_id,country,iso_codes,scenario_presence,2003_vanilla_region_count,2003_vanilla_population,2003_vanilla_gdp_template_usd,2003_vanilla_global_gdp_scaling,2003_vanilla_gdp_effective_usd,2003_vanilla_gdp_per_capita,2003_imf_population,2003_us_gdp_deflator,2003_to_2022_usd_multiplier,2003_nominal_gdp_2022_usd,2003_nominal_gdp_per_capita_2022_usd,2003_ppp_gdp_2022_intl_dollars,2003_ppp_gdp_per_capita_2022_intl_dollars,2003_population_coverage,2003_nominal_coverage,2003_ppp_coverage,2022_vanilla_region_count,2022_vanilla_population,2022_vanilla_gdp_template_usd,2022_vanilla_global_gdp_scaling,2022_vanilla_gdp_effective_usd,2022_vanilla_gdp_per_capita,2022_imf_population,2022_us_gdp_deflator,2022_to_2022_usd_multiplier,2022_nominal_gdp_2022_usd,2022_nominal_gdp_per_capita_2022_usd,2022_ppp_gdp_2022_intl_dollars,2022_ppp_gdp_per_capita_2022_intl_dollars,2022_population_coverage,2022_nominal_coverage,2022_ppp_coverage,2026_vanilla_region_count,2026_vanilla_population,2026_vanilla_gdp_template_usd,2026_vanilla_global_gdp_scaling,2026_vanilla_gdp_effective_usd,2026_vanilla_gdp_per_capita,2026_imf_population,2026_us_gdp_deflator,2026_to_2022_usd_multiplier,2026_nominal_gdp_2022_usd,2026_nominal_gdp_per_capita_2022_usd,2026_ppp_gdp_2022_intl_dollars,2026_ppp_gdp_per_capita_2022_intl_dollars,2026_population_coverage,2026_nominal_coverage,2026_ppp_coverage,quality_flags,imf_source_url
SER,Serbia,SRB,2003|2022|2026,1,7590935,35756725146,1.59,56853192982,7490,7480591,77.006115,1.532642193415419,36211384596,4841,104208155944,13930,complete,complete,complete,1,6870320,143967120000,1,143967120000,20955,6664449,118.022821,1,66809896000,10025,177956093000,26702,complete,complete,complete,1,6641964,190274480000,0.87,165538797600,24923,6493391,132.681448,0.8895201460267452,99648911544,15346,201366223393,31011,complete,complete,complete,complete,https://api.imf.org/external/sdmx/3.0/data/dataflow/IMF.RES/WEO/9.0.0/
SYC,Seychelles,SYC,2003|2022|2026,1,87034,629824561,1.59,1001421052,11506,82781,77.006115,1.532642193415419,1081590194,13066,1649965953,19932,complete,complete,complete,1,99613,3070320000,1,3070320000,30822,118900,118.022821,1,1999863000,16820,3502185000,29455,complete,complete,complete,1,134959,3755840000,0.87,3267580800,24212,127350,132.681448,0.8895201460267452,2002190653,15722,4061643276,31894,complete,complete,complete,complete,https://api.imf.org/external/sdmx/3.0/data/dataflow/IMF.RES/WEO/9.0.0/
SLE,Sierra Leone,SLE,2003|2022|2026,1,5177687,4440350877,1.59,7060157894,1364,5177687,77.006115,1.532642193415419,3399432570,657,11637609658,2248,complete,complete,complete,1,8358303,14323760000,1,14323760000,1714,8276807,118.022821,1,7121338000,860,26017789000,3143,complete,complete,complete,1,8996745,28604400000,0.87,24885828000,2766,9001812,132.681448,0.8895201460267452,7356434792,817,31302192590,3477,complete,complete,complete,complete,https://api.imf.org/external/sdmx/3.0/data/dataflow/IMF.RES/WEO/9.0.0/
SGP,Singapore,SGP,2003|2022|2026,1,4138245,109485380117,1.59,174081754386,42067,4114826,77.006115,1.532642193415419,149656965088,36370,287844871309,69953,complete,complete,complete,1,5957872,617587520000,1,617587520000,103659,5637022,118.022821,1,514252660000,91228,814084777000,144418,complete,complete,complete,1,5905748,838326720000,0.87,729344246400,123497,6120863,132.681448,0.8895201460267452,586702690277,95853,945774880223,154517,complete,complete,complete,complete,https://api.imf.org/external/sdmx/3.0/data/dataflow/IMF.RES/WEO/9.0.0/
SLO,Slovakia,SVK,2003|2022|2026,1,5376196,43281286550,1.59,68817245615,12800,5374873,77.006115,1.532642193415419,51901853498,9656,113423836897,21103,complete,complete,complete,1,5459991,185784720000,1,185784720000,34027,5434712,118.022821,1,115884007000,21323,225340505000,41463,complete,complete,complete,1,5451342,226177600000,0.87,196774512000,36097,5406135,132.681448,0.8895201460267452,150237461118,27790,237875851049,44001,complete,complete,complete,complete,https://api.imf.org/external/sdmx/3.0/data/dataflow/IMF.RES/WEO/9.0.0/
SLV,Slovenia,SVN,2003|2022|2026,1,1992490,25602339181,1.59,40707719298,20431,1995033,77.006115,1.532642193415419,45057856642,22585,67099059901,33633,complete,complete,complete,1,2077864,90133120000,1,90133120000,43378,2107180,118.022821,1,59946214000,28449,107296588000,50920,complete,complete,complete,1,2114574,108638640000,0.87,94515616800,44697,2134675,132.681448,0.8895201460267452,77149835509,36141,115190906414,53962,complete,complete,complete,complete,https://api.imf.org/external/sdmx/3.0/data/dataflow/IMF.RES/WEO/9.0.0/
SOM,Somalia,SOM,2003|2022|2026,1,7372413,8501169591,1.59,13516859650,1833,,77.006115,1.532642193415419,,,,,missing; missing SOM,missing; missing SOM,missing; missing SOM,1,12637569,18164080000,1,18164080000,1437,15614061,118.022821,1,10203000000,653,26462897000,1695,complete,complete,complete,1,14011076,28596480000,0.87,24878937600,1776,17437665,132.681448,0.8895201460267452,12608400126,723,30339520086,1740,complete,complete,complete,"2003: pop=missing, nominal=missing, ppp=missing",https://api.imf.org/external/sdmx/3.0/data/dataflow/IMF.RES/WEO/9.0.0/
SOL,Somaliland,,2022|2026,,,,,,,,77.006115,1.532642193415419,,,,,complete,complete,complete,1,4357044,5668258200,1,5668258200,1301,,118.022821,1,,,,,complete,complete,complete,1,6294831,8324800000,0.87,7242576000,1151,,132.681448,0.8895201460267452,,,,,complete,complete,complete,complete,https://api.imf.org/external/sdmx/3.0/data/dataflow/IMF.RES/WEO/9.0.0/
ZAF,South Africa,ZAF,2003|2022|2026,2,51552107,245490643275,1.59,390330122807,7572,47005000,77.006115,1.532642193415419,301956208382,6424,643385702283,13688,complete,complete,complete,2,64346678,825408320000,1,825408320000,12828,60867031,118.022821,1,407430466000,6694,919875568000,15113,complete,complete,complete,2,69112279,903320000000,0.87,785888400000,11371,63969922,132.681448,0.8895201460267452,426938020966,6674,952529696959,14890,complete,complete,complete,complete,https://api.imf.org/external/sdmx/3.0/data/dataflow/IMF.RES/WEO/9.0.0/
KOR,South Korea,KOR,2003|2022|2026,1,47514160,590179532164,1.59,938385456141,19750,47892330,77.006115,1.532642193415419,1116525479069,23313,1546753590261,32296,complete,complete,complete,1,51337033,2735870000000,1,2735870000000,53292,51672569,118.022821,1,1799363195000,34822,2955318120000,57193,complete,complete,complete,1,51600388,2959808720000,0.87,2575033586400,49903,51614558,132.681448,0.8895201460267452,1717670255730,33279,3150692372865,61043,complete,complete,complete,complete,https://api.imf.org/external/sdmx/3.0/data/dataflow/IMF.RES/WEO/9.0.0/
