country_id,country,iso_codes,2003_vanilla_gdp_per_capita,2003_nominal_gdp_per_capita_2022_usd,2003_ppp_gdp_per_capita_2022_intl_dollars,2022_vanilla_gdp_per_capita,2022_nominal_gdp_per_capita_2022_usd,2022_ppp_gdp_per_capita_2022_intl_dollars,2026_vanilla_gdp_per_capita,2026_nominal_gdp_per_capita_2022_usd,2026_ppp_gdp_per_capita_2022_intl_dollars,quality_flags,imf_source_url
IVO,Ivory Coast,CIV,2600,1837,4633,5667,2351,6755,6099,2947,7714,complete,https://api.imf.org/external/sdmx/3.0/data/dataflow/IMF.RES/WEO/9.0.0/
JAM,Jamaica,JAM,7054,5639,12105,9534,6820,12300,9370,7433,12362,complete,https://api.imf.org/external/sdmx/3.0/data/dataflow/IMF.RES/WEO/9.0.0/
JPN,Japan,JPN,26162,54918,43947,42560,35566,50439,41963,31759,52666,complete,https://api.imf.org/external/sdmx/3.0/data/dataflow/IMF.RES/WEO/9.0.0/
JOR,Jordan,JOR,6185,3318,11681,10433,4761,10881,8699,4982,11793,complete,https://api.imf.org/external/sdmx/3.0/data/dataflow/IMF.RES/WEO/9.0.0/
KAZ,Kazakhstan,KAZ,9473,3170,16492,26960,11484,36620,32845,15569,42919,complete,https://api.imf.org/external/sdmx/3.0/data/dataflow/IMF.RES/WEO/9.0.0/
KEN,Kenya,KEN,2297,1025,3981,4799,2266,6302,5248,2414,7134,complete,https://api.imf.org/external/sdmx/3.0/data/dataflow/IMF.RES/WEO/9.0.0/
KOS,Kosovo,KOS,4241,3380,8307,12531,5320,14824,14767,7968,19391,complete,https://api.imf.org/external/sdmx/3.0/data/dataflow/IMF.RES/WEO/9.0.0/
KUW,Kuwait,KWT,43353,31549,64835,49087,38289,52695,39085,29500,48303,complete,https://api.imf.org/external/sdmx/3.0/data/dataflow/IMF.RES/WEO/9.0.0/
KGZ,Kyrgyzstan,KGZ,2374,587,4028,4920,1806,6751,6565,2848,8917,complete,https://api.imf.org/external/sdmx/3.0/data/dataflow/IMF.RES/WEO/9.0.0/
LAO,Laos,LAO,2251,609,3716,8047,2022,8733,7570,2138,9752,complete,https://api.imf.org/external/sdmx/3.0/data/dataflow/IMF.RES/WEO/9.0.0/
LVA,Latvia,LVA,11876,7498,18395,33669,20276,39044,34716,25718,40776,complete,https://api.imf.org/external/sdmx/3.0/data/dataflow/IMF.RES/WEO/9.0.0/
